Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Гинтама: Сказание о Бэнидзакуре,Фильм,Не указано,1 час 35 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",R-17,Sunrise,Hideaki Sorachi,8.52,https://shikimori.me/animes/z7472-gintama-movie-1-shinyaku-benizakura-hen
Гинтама 6,TV Сериал,13,23 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,8.52,https://shikimori.me/animes/z35843-gintama-porori-hen
Могила светлячков,Фильм,Не указано,1 час 28 мин,"['Драма', 'Исторический']",PG-13,Ghibli,Akiyuki Nosaka,8.51,https://shikimori.me/animes/x578-hotaru-no-haka
Магистр дьявольского культа 3,ONA,12,24 мин,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Детектив', 'Исторический']",R-17,B.CMAY PICTURES,Mo Xiang Tong Xiu,8.51,https://shikimori.me/animes/40434-mo-dao-zu-shi-wanjie-pian
Самурай Чамплу,TV Сериал,26,24 мин,"['Экшен', 'Приключения', 'Комедия', 'Исторический', 'Самураи']",R-17,Manglobe,Shinichirou Watanabe,8.51,https://shikimori.me/animes/205-samurai-champloo
Атака титанов 2,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Драма', 'Триллер', 'Военное']",R-17,Wit,Hajime Isayama,8.51,https://shikimori.me/animes/25777-shingeki-no-kyojin-season-2
Летнее время,TV Сериал,25,23 мин,"['Детектив', 'Сверхъестественное', 'Триллер', 'Сёнен']",R-17,OLM,Yasunori Tanaka,8.5,https://shikimori.me/animes/47194-summertime-render
Обещанный Неверленд,TV Сериал,12,22 мин,"['Детектив', 'Фантастика', 'Триллер', 'Психологическое', 'Сёнен']",R-17,CloverWorks,Kaiu Shirai,8.51,https://shikimori.me/animes/z37779-yakusoku-no-neverland
Озорная Такаги. Фильм,Фильм,Не указано,1 час 13 мин,"['Школа', 'Сёнен']",PG-13,Shin-Ei,Souichirou Yamamoto,8.5,https://shikimori.me/animes/49722-karakai-jouzu-no-takagi-san-movie
Судьб,Фильм,Не указано,1 час 57 мин,"['Экшен', 'Фэнтези', 'Сверхъестественное']",R-17,ufotable,Kinoko Nasu,8.5,https://shikimori.me/animes/z33049-fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly
Невероятное приключение ДжоДжо: Несокрушимый алмаз,TV Сериал,39,23 мин,"['Экшен', 'Приключения', 'Сверхъестественное', 'Сёнен']",R-17,David,Hirohiko Araki,8.5,https://shikimori.me/animes/31933-jojo-no-kimyou-na-bouken-part-4-diamond-wa-kudakenai
"Клинок, рассекающий демонов",TV Сериал,26,23 мин,"['Экшен', 'Фэнтези', 'Исторический', 'Сёнен']",R-17,ufotable,Koyoharu Gotouge,8.5,https://shikimori.me/animes/z38000-kimetsu-no-yaiba
Ванпанчмен,TV Сериал,12,24 мин,"['Сэйнэн', 'Экшен', 'Комедия', 'Пародия', 'Супер']",R-17,Madhouse,Shingo Natsume,8.5,https://shikimori.me/animes/z30276-one-punch-man
Моб Психо 100,TV Сериал,12,24 мин,"['Экшен', 'Комедия', 'Сверхъестественное', 'Супер']",PG-13,Bones,Yuzuru Tachikawa,8.49,https://shikimori.me/animes/z32182-mob-psycho-100
Космические братья,TV Сериал,99,24 мин,"['Комедия', 'Фантастика', 'Космос', 'Работа', 'Сэйнэн']",PG-13,A-1 Pictures,Chuuya Koyama,8.49,https://shikimori.me/animes/12431-uchuu-kyoudai
Класс убийц 2,TV Сериал,25,23 мин,"['Сёнен', 'Экшен', 'Комедия', 'Школа']",PG-13,Lerche,Yuusei Matsui,8.49,https://shikimori.me/animes/z30654-ansatsu-kyoushitsu-2nd-season
Ария: Происхождение,TV Сериал,13,24 мин,"['Сёнен', 'Фэнтези', 'Фантастика', 'Повседневность']",G,Hal Film Maker,Kozue Amano,8.48,https://shikimori.me/animes/3297-aria-the-origination
Путь Наруто,ONA,Не указано,9 мин,"['Экшен', 'Фэнтези', 'Боевые', 'Сёнен']",R-17,Pierrot,Masashi Kishimoto,8.48,https://shikimori.me/animes/53236-road-of-naruto
Банановая рыба,TV Сериал,24,22 мин,"['Экшен', 'Приключения', 'Драма', 'Триллер', 'Психологическое', 'Сёдзё']",R-17,MAPPA,Akimi Yoshida,8.48,https://shikimori.me/animes/36649-banana-fish
Радуга: Семеро из шестой камеры второго блока,TV Сериал,26,22 мин,"['Сэйнэн', 'Драма', 'Триллер', 'Исторический']",R-17,Madhouse,George Abe,8.48,https://shikimori.me/animes/6114-rainbow-nisha-rokubou-no-shichinin
Девочка-волшебница Мадока★Волшебный фильм 3: История восстания,Фильм,Не указано,1 час 56 мин,"['Драма', 'Детектив', 'Триллер', 'Психологическое']",PG-13,Shaft,Yukihiro Miyamoto,8.47,https://shikimori.me/animes/11981-mahou-shoujo-madoka-magica-movie-3-hangyaku-no-monogatari
Яркая Тихая 3,TV Сериал,24,22 мин,"['Драма', 'Спорт', 'Школа', 'Дзёсей']",PG-13,Madhouse,Yuki Suetsugu,8.47,https://shikimori.me/animes/z37379-chihayafuru-3
Магическая битва 0. Фильм,Фильм,Не указано,1 час 44 мин,"['Экшен', 'Фэнтези', 'Школа', 'Сёнен']",R-17,MAPPA,Gege Akutami,8.47,https://shikimori.me/animes/48561-jujutsu-kaisen-0-movie
Гинтама: Полуфинал,Спешл,2,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,8.47,https://shikimori.me/animes/44087-gintama-the-semi-final
Мелочи жизни,TV Сериал,26,23 мин,"['Комедия', 'Школа', 'Сёнен']",PG-13,Kyoto,Keiichi Arawi,8.46,https://shikimori.me/animes/10165-nichijou
Лагерь на свежем воздухе. Фильм,Фильм,Не указано,2 час,['Повседневность'],PG-13,C-Station,Yoshiaki Kyougoku,8.46,https://shikimori.me/animes/38475-yuru-camp-movie
Отчёт о буйстве духов,TV Сериал,112,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Сверхъестественное', 'Демоны', 'Боевые']",PG-13,Pierrot,Yoshihiro Togashi,8.46,https://shikimori.me/animes/392-yuu-yuu-hakusho
История финала: Продолжение,Фильм,6,28 мин,"['Комедия', 'Детектив', 'Сверхъестественное', 'Вампиры']",R-17,Shaft,ISIN NISIO,8.45,https://shikimori.me/animes/z36999-zoku-owarimonogatari
Великий из бродячих псов 4,TV Сериал,13,23 мин,"['Экшен', 'Детектив', 'Сверхъестественное', 'Супер', 'Сэйнэн']",R-17,Bones,Kafka Asagiri,8.45,https://shikimori.me/animes/50330-bungou-stray-dogs-4th-season
Золотое божество 3,TV Сериал,12,23 мин,"['Сэйнэн', 'Экшен', 'Приключения', 'Исторический']",R-17,Geno,Satoru Noda,8.45,https://shikimori.me/animes/40059-golden-kamuy-3rd-season
Этот замечательный мир! Багровая легенда,Фильм,Не указано,1 час 30 мин,"['Приключения', 'Комедия', 'Фэнтези', 'Сверхъестественное', 'Пародия']",PG-13,J.C.Staff,Natsume Akatsuki,8.45,https://shikimori.me/animes/z38040-kono-subarashii-sekai-ni-shukufuku-wo-movie-kurenai-densetsu
История финала,TV Сериал,12,26 мин,"['Комедия', 'Детектив', 'Сверхъестественное', 'Вампиры']",R-17,Shaft,ISIN NISIO,8.45,https://shikimori.me/animes/z31181-owarimonogatari
Врата Штейна: Зона загрузки дежавю,Фильм,Не указано,1 час 30 мин,"['Драма', 'Фантастика']",PG-13,White Fox,Chiyomaru Shikura,8.45,https://shikimori.me/animes/z11577-steins-gate-movie-fuka-ryouiki-no-dej-vu
Re:Zero. Жизнь с нуля в альтернативном мире 2. Часть 2,TV Сериал,12,29 мин,"['Драма', 'Фэнтези', 'Триллер', 'Психологическое']",R-17,White Fox,Tappei Nagatsuki,8.44,https://shikimori.me/animes/42203-re-zero-kara-hajimeru-isekai-seikatsu-2nd-season-part-2
Корзинка фруктов: Прелюдия,Фильм,Не указано,1 час 28 мин,"['Сёдзё', 'Драма', 'Романтика']",PG-13,TMS,Natsuki Takaya,8.44,https://shikimori.me/animes/49310-fruits-basket-prelude
Волейбол!!,TV Сериал,25,24 мин,"['Спорт', 'Школа', 'Сёнен']",PG-13,Production I.G,Haruichi Furudate,8.44,https://shikimori.me/animes/z20583-haikyuu
Восхождение в тени! 2,TV Сериал,0 / 12,Не указано,"['Экшен', 'Комедия', 'Фэнтези']",R-17,Nexus,Daisuke Aizawa,8.45,https://shikimori.me/animes/54595-kage-no-jitsuryokusha-ni-naritakute-2nd-season
Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2,TV Сериал,24,23 мин,"['Сёнен', 'Экшен', 'Приключения', 'Драма', 'Сверхъестественное']",R-17,David,Hirohiko Araki,8.44,https://shikimori.me/animes/26055-jojo-no-kimyou-na-bouken-part-3-stardust-crusaders-2nd-season
Гинтама: Лучшее из «Гинтамы» на Theater 2D,Фильм,2,1 час 36 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,8.43,https://shikimori.me/animes/21899-gintama-yorinuki-gintama-san-on-theater-2d
Необъятный океан,TV Сериал,12,24 мин,"['Комедия', 'Сэйнэн']",PG-13,Zero-G,Kenji Inoue,8.43,https://shikimori.me/animes/37105-grand-blue
Мононокэ,TV Сериал,12,22 мин,"['Фэнтези', 'Ужасы', 'Детектив', 'Сверхъестественное', 'Исторический', 'Психологическое']",R-17,Toei,Kenji Nakamura,8.43,https://shikimori.me/animes/2246-mononoke
Мастер муси: Следующая глава — Тернистый путь,Спешл,Не указано,47 мин,"['Сэйнэн', 'Приключения', 'Фэнтези', 'Детектив', 'Повседневность', 'Сверхъестественное', 'Исторический']",PG-13,Artland,Yuki Urushibara,8.43,https://shikimori.me/animes/24687-mushishi-zoku-shou-odoro-no-michi
Как воспитать героиню из обычной девушки: Финал,Фильм,Не указано,1 час 54 мин,"['Комедия', 'Романтика', 'Этти', 'Гарем', 'Школа']",PG-13,CloverWorks,Fumiaki Maruto,8.43,https://shikimori.me/animes/36885-saenai-heroine-no-sodatekata-fine
Озорная Такаги 3,TV Сериал,12,24 мин,"['Комедия', 'Школа', 'Сёнен']",PG-13,Shin-Ei,Souichirou Yamamoto,8.42,https://shikimori.me/animes/49721-karakai-jouzu-no-takagi-san-3
Задержи этот звук! 2,TV Сериал,13,23 мин,"['Сёнен', 'Драма', 'Романтика', 'Музыка', 'Школа']",PG-13,Platinum Vision,Amyuu Sakura,8.42,https://shikimori.me/animes/38889-kono-oto-tomare-part-2
Призрак в доспехах: Синдром одиночки,TV Сериал,26,25 мин,"['Сэйнэн', 'Экшен', 'Фантастика', 'Меха', 'Военное', 'Полиция']",R-17,Production I.G,Masamune Shirow,8.42,https://shikimori.me/animes/467-koukaku-kidoutai-stand-alone-complex
Тетрадь дружбы Нацумэ: Эфемерная связь,Фильм,Не указано,1 час 44 мин,"['Сёдзё', 'Драма', 'Повседневность', 'Сверхъестественное', 'Демоны']",PG-13,Shuka,Yuki Midorikawa,8.42,https://shikimori.me/animes/36538-natsume-yuujinchou-movie-utsusemi-ni-musubu
Ох уж этот экстрасенс Сайки Кусуо! 2,TV Сериал,24,24 мин,"['Сёнен', 'Комедия', 'Сверхъестественное', 'Школа', 'Супер']",PG-13,J.C.Staff,Shuuichi Asou,8.42,https://shikimori.me/animes/34612-saiki-kusuo-no-nan-2
Магистр дьявольского культа,ONA,15,25 мин,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Детектив', 'Исторический']",R-17,B.CMAY PICTURES,Mo Xiang Tong Xiu,8.41,https://shikimori.me/animes/37208-mo-dao-zu-shi
Ох уж этот экстрасенс Сайки Кусуо!,TV Сериал,120,5 мин,"['Сёнен', 'Комедия', 'Сверхъестественное', 'Школа', 'Супер']",PG-13,J.C.Staff,Shuuichi Asou,8.41,https://shikimori.me/animes/33255-saiki-kusuo-no-nan
Атака титанов: Выбор без сожалений,OVA,2,27 мин,['Экшен'],R-17,Wit,Hajime Isayama,8.41,https://shikimori.me/animes/25781-shingeki-no-kyojin-kuinaki-sentaku
Вайолет Эвергарден: Вечность и призрак пера,Фильм,Не указано,1 час 31 мин,"['Драма', 'Фэнтези']",PG-13,Kyoto,Kana Akatsuki,8.41,https://shikimori.me/animes/39741-violet-evergarden-gaiden-eien-to-jidou-shuki-ningyou
Виви: Песнь флюоритового глаза,TV Сериал,13,24 мин,"['Экшен', 'Фантастика', 'Триллер', 'Музыка']",R-17,Wit,Tappei Nagatsuki,8.41,https://shikimori.me/animes/46095-vivy-fluorite-eye-s-song
Охотник х Охотник,TV Сериал,62,23 мин,"['Сёнен', 'Экшен', 'Приключения', 'Фэнтези', 'Супер']",PG-13,Nippon,Yoshihiro Togashi,8.41,https://shikimori.me/animes/z136-hunter-x-hunter
"Жозе, тигр и рыба",Фильм,Не указано,1 час 38 мин,"['Драма', 'Романтика']",PG-13,Bones,Seiko Tanabe,8.41,https://shikimori.me/animes/40787-josee-to-tora-to-sakana-tachi
