Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Эстетика изгнанного героя,TV Сериал,12,24 мин,"['Экшен', 'Фэнтези', 'Этти', 'Супер']",R+,Arms,Tetsuto Uesu,6.74,https://shikimori.me/animes/13161-hagure-yuusha-no-aesthetica
Котикамэ: Атака НЛО! Операция «Торнадо»,Фильм,Не указано,1 час 40 мин,"['Комедия', 'Полиция']",PG-13,Fuji TV,Osamu Akimoto,6.74,https://shikimori.me/animes/3547-kochira-katsushikaku-kameari-kouenmae-hashutsujo-the-movie-2-ufo-shuurai-tornado-daisakusen
Внеклассные Плеяды,TV Сериал,12,23 мин,['Космос'],PG-13,Gainax,Shouji Saeki,6.74,https://shikimori.me/animes/17919-houkago-no-pleiades-tv
Записи о магии: Девочка-волшебница Мадока★Волшебство — Гайдэн. Финал,Спешл,4,24 мин,"['Драма', 'Триллер', 'Психологическое']",PG-13,Shaft,Gekidan Inu Curry,6.74,https://shikimori.me/animes/49291-magia-record-mahou-shoujo-madoka-magica-gaiden-final-season-asaki-yume-no-akatsuki
Котикамэ: Спецвыпуск,Спешл,Не указано,24 мин,"['Комедия', 'Полиция']",PG-13,Tatsunoko,Osamu Akimoto,6.74,https://shikimori.me/animes/3546-kochira-katsushikaku-kameari-kouenmae-hashutsujo-jump-festa-special
Хьякко Экстра,OVA,Не указано,9 мин,"['Комедия', 'Гурман']",PG-13,Nippon,Haruaki Katou,6.74,https://shikimori.me/animes/z6958-hyakko-extra
Мабурахо,TV Сериал,24,23 мин,"['Комедия', 'Драма', 'Романтика', 'Этти', 'Гарем', 'Школа']",R+,J.C.Staff,Toshihiko Tsukiji,6.74,https://shikimori.me/animes/193-maburaho
Кэнди-Кэнди (1992),Фильм,Не указано,26 мин,"['Сёдзё', 'Драма', 'Повседневность']",G,Toei,Keiko Nagita,6.74,https://shikimori.me/animes/723-candy-candy-movie
Князь тьмы с задней парты,TV Сериал,12,23 мин,"['Экшен', 'Комедия', 'Фэнтези', 'Этти', 'Гарем', 'Школа']",R+. В РФ только по достижению 18 лет.,Artland,Shoutarou Mizuki,6.74,https://shikimori.me/animes/7088-ichiban-ushiro-no-daimaou
Клуб любителей магии,TV Сериал,13,24 мин,"['Комедия', 'Романтика', 'Фантастика', 'Школа']",PG-13,Madhouse,Junichi Satou,6.74,https://shikimori.me/animes/630-mahoutsukai-tai-tv
Страж перерождения OVA,OVA,Не указано,24 мин,"['Дзёсей', 'Фэнтези', 'Романтика', 'Гарем', 'Исторический', 'Военное']",PG-13,M.S.C,Не смог X2,6.75,https://shikimori.me/animes/37910-code-realize-sousei-no-himegimi-set-a-thief-to-catch-a-thief
Месть Масамунэ!,TV Сериал,12,24 мин,"['Сёнен', 'Комедия', 'Романтика', 'Гарем', 'Школа']",PG-13,SILVER LINK.,Hazuki Takeoka,6.74,https://shikimori.me/animes/z33487-masamune-kun-no-revenge
Хозяйка Москитона,TV Сериал,26,23 мин,"['Экшен', 'Приключения', 'Комедия', 'Сверхъестественное', 'Вампиры']",PG-13,Radix,Satoru Akahori,6.74,https://shikimori.me/animes/1806-master-mosquiton-99
Син-тян 2006,Фильм,Не указано,1 час 30 мин,"['Сэйнэн', 'Комедия', 'Повседневность', 'Этти', 'Школа']",G,Shin-Ei,Yoshito Usui,6.74,https://shikimori.me/animes/8366-crayon-shin-chan-movie-14-densetsu-wo-yobu-odore-amigo
Эпоха смут 2: Мини — Лунные ночи Катакуры,Спешл,7,4 мин,"['Комедия', 'Исторический']",G,Production I.G,Capcom,6.74,https://shikimori.me/animes/9630-mini-sengoku-basara-ni-tsukiyo-no-katakura-kun
Ферма чудищ: Дорога к легенде,TV Сериал,25,24 мин,"['Экшен', 'Приключения', 'Комедия', 'Фэнтези']",PG,TMS,Hiroyuki Yano,6.74,https://shikimori.me/animes/13201-monster-farm-legend-e-no-michi
Сельскохозяйственные истории: Театр бактерий,Спешл,4,5 мин,['Комедия'],G,Shirogumi,Masayuki Ishikawa,6.74,https://shikimori.me/animes/3618-moyashimon-kin-gekijou-deluxe
Первоклассный вкус,Спешл,11 / ?,1 мин,['Повседневность'],G,Colorido,Не смог X2,6.74,https://shikimori.me/animes/30088-ryoutei-no-aji
Сумеречный разум: Рождение,TV Сериал,24,24 мин,"['Драма', 'Детектив', 'Фантастика', 'Сверхъестественное', 'Психологическое']",R-17,Bee Media,George Iida,6.74,https://shikimori.me/animes/1243-night-head-genesis
Осомацу (1988),TV Сериал,86,24 мин,['Комедия'],G,Pierrot,Fujio Akatsuka,6.74,https://shikimori.me/animes/9883-osomatsu-kun-1988
Покемон: Современное поколение — Джирачи исполнитель желаний,Фильм,Не указано,1 час 21 мин,"['Детское', 'Приключения', 'Комедия', 'Драма', 'Фэнтези']",PG,OLM,Satoshi Tajiri,6.74,https://shikimori.me/animes/1121-pokemon-movie-06-nanayo-no-negaiboshi-jirachi
Флейта в рюкзаке,OVA,2,3 мин,"['Сэйнэн', 'Комедия', 'Повседневность', 'Школа']",PG-13,Seven,Meme Higashiya,6.74,https://shikimori.me/animes/14627-recorder-to-randoseru
Чёрные метки,TV Сериал,12,23 мин,"['Экшен', 'Драма', 'Фантастика', 'Исторический', 'Меха', 'Военное']",R-17,ixtl,Hiroki Uchida,6.74,https://shikimori.me/animes/30806-schwarzesmarken
Правильный ответ: «Кадо»,TV Сериал,12,23 мин,['Фантастика'],PG-13,Toei,Mado Nozaki,6.74,https://shikimori.me/animes/z32032-seikaisuru-kado
Знаменитые сказки мира: Двенадцать месяцев,Фильм,Не указано,1 час 5 мин,"['Детское', 'Фэнтези']",PG,Toei,Kimio Yabuki,6.74,https://shikimori.me/animes/3751-sekai-meisaku-douwa-mori-wa-ikiteiru
Хроники животных Сетона,TV Сериал,45,25 мин,"['Приключения', 'Фэнтези']",G,Eiken,Sanpei Shirato,6.75,https://shikimori.me/animes/7845-seton-doubutsuki
По велению адской сестры: Спецвыпуски,Спешл,6,4 мин,"['Комедия', 'Фэнтези', 'Этти']",R+,Production IMS,Tetsuto Uesu,6.74,https://shikimori.me/animes/30464-shinmai-maou-no-testament-specials
Чудачества любви не помеха! На линии фронта,Спешл,7,3 мин,"['Экшен', 'Меха']",PG-13,Kyoto,Tatsuya Ishihara,6.74,https://shikimori.me/animes/15879-chuunibyou-demo-koi-ga-shitai-depth-of-field-ai-to-nikushimi-gekijou
Призрачная игра Дигимонов,TV Сериал,67,23 мин,"['Экшен', 'Приключения', 'Комедия', 'Фэнтези']",PG-13,Toei,Akiyoshi Hongou,6.74,https://shikimori.me/animes/49515-digimon-ghost-game
Дораэмон: Нобита и небесная утопия,Фильм,Не указано,1 час 47 мин,"['Приключения', 'Комедия', 'Фантастика']",PG,Не смог,Fujiko F. Fujio,6.74,https://shikimori.me/animes/52318-doraemon-movie-42-nobita-to-sora-no-utopia
Акварион: Эвол — Спецвыпуск,Спешл,Не указано,26 мин,"['Романтика', 'Фантастика', 'Меха']",PG-13,Satelight,Shouji Kawamori,6.74,https://shikimori.me/animes/30381-sousei-no-aquarion-evol
Магия Стеллы: Спецвыпуски,Спешл,2,13 мин,"['Комедия', 'Повседневность', 'Школа']",PG-13,SILVER LINK.,Ryousuke Yamamoto,6.74,https://shikimori.me/animes/35522-stella-no-mahou-specials
Воспоминания о вечности,Спешл,Не указано,49 мин,['Фэнтези'],PG-13,CygamesPictures,Hideki Nagamachi,6.74,https://shikimori.me/animes/51234-eternity-memories
Детективное агентство Милки Холмс: Сумасшедшее приветствие,Спешл,Не указано,24 мин,"['Комедия', 'Детектив', 'Супер']",PG-13,J.C.Staff,Hiroaki Sakurai,6.74,https://shikimori.me/animes/38540-tantei-opera-milky-holmes-psycho-no-aisatsu
Прославленный: Великолепные дни принцессы Тусукуру,OVA,Не указано,13 мин,"['Комедия', 'Фэнтези']",PG-13,White Fox,Aquaplus,6.74,https://shikimori.me/animes/36777-utawarerumono-tusukuru-koujo-no-karei-naru-hibi
